Create_time,Create_year,Create_month,Create_day,Create_hour,Likes,Comments,Saves,Views,Shares,Duration(sec),Video Height,Video Width
2023-05-04 14:18:21,2023,5,4,14,5540,24,15,372500,49,51,1024,576
2023-04-29 22:51:41,2023,4,29,22,1408,1,11,52100,4,63,1280,720
2023-04-29 22:42:52,2023,4,29,22,2620,7,11,246800,8,40,1024,576
2023-04-29 22:39:25,2023,4,29,22,1645,5,12,55900,6,38,1280,720
2023-04-28 23:41:21,2023,4,28,23,1161,5,4,39800,6,22,1024,576
2023-04-28 23:37:35,2023,4,28,23,415,4,5,20000,3,24,1024,576
2023-04-26 15:01:40,2023,4,26,15,73600,242,132,7100000,357,22,854,480
2023-04-26 14:55:19,2023,4,26,14,39100,102,88,2800000,59,58,1280,720
2023-04-21 21:35:35,2023,4,21,21,36200,86,53,4100000,142,60,1280,720
2023-04-16 11:58:36,2023,4,16,11,84200,591,401,4000000,248,59,1280,720
2023-04-14 20:46:11,2023,4,14,20,23700,118,55,1300000,161,14,1024,576
2023-04-11 11:39:51,2023,4,11,11,26300,110,44,2800000,117,51,1024,576
2023-04-08 10:10:00,2023,4,8,10,8554,21,14,804200,45,81,1024,576
2023-04-07 15:59:35,2023,4,7,15,12100,337,42,2500000,84,18,1024,576
2023-04-05 15:03:38,2023,4,5,15,47000,101,113,6000000,204,35,1280,720
2023-04-03 16:10:26,2023,4,3,16,42400,74,77,4400000,84,59,1280,720
2023-04-02 14:48:14,2023,4,2,14,10800,79,62,807300,63,18,1024,576
2023-04-01 15:32:49,2023,4,1,15,1799,18,36,79500,19,29,1024,576
2023-03-31 10:48:28,2023,3,31,10,32100,151,67,3200000,141,48,854,480
2023-03-29 16:08:19,2023,3,29,16,1373,5,9,71600,7,84,1024,576
2023-03-27 16:46:19,2023,3,27,16,28700,76,91,1800000,112,52,1280,720
2023-03-27 13:43:42,2023,3,27,13,20200,46,55,1500000,79,18,1024,576
2023-03-27 13:39:08,2023,3,27,13,25600,49,35,966700,52,11,854,480
2023-03-21 10:47:58,2023,3,21,10,34700,168,114,2900000,214,18,1280,720
2023-03-20 10:00:41,2023,3,20,10,31800,107,59,3300000,117,72,1024,576
2023-03-14 11:35:08,2023,3,14,11,35000,84,914,2300000,142,57,854,480
2023-03-13 17:27:04,2023,3,13,17,40100,222,117,4200000,167,69,1024,576
2023-03-13 17:11:39,2023,3,13,17,23700,107,119,2700000,144,59,1024,576
2023-03-13 13:40:08,2023,3,13,13,105,0,10,7152,0,20,1024,576
2023-03-13 12:05:57,2023,3,13,12,323,4,13,8998,1,57,1024,576
2023-03-13 10:48:12,2023,3,13,10,178,1,9,8130,2,37,852,480
2023-03-10 17:31:02,2023,3,10,17,221,2,4,10900,1,52,1280,720
2023-03-10 11:00:41,2023,3,10,11,4199,7,69,255400,9,34,1024,576
2023-03-10 10:41:05,2023,3,10,10,352,3,8,12600,3,20,1024,576
2023-03-09 16:11:44,2023,3,9,16,238,0,5,8660,2,59,1280,720
2023-03-09 15:26:10,2023,3,9,15,123,2,5,6933,1,20,1024,576
2023-03-09 14:08:56,2023,3,9,14,169,3,7,8419,5,59,1024,576
2023-03-09 13:55:39,2023,3,9,13,551,2,23,22100,2,41,1270,720
2023-03-08 20:43:18,2023,3,8,20,133,1,3,6216,3,23,1024,576
2023-03-08 18:37:47,2023,3,8,18,173,3,9,6120,1,60,1024,576
2023-03-08 18:18:13,2023,3,8,18,4956,71,15,141300,32,39,1024,576
2023-03-08 16:06:34,2023,3,8,16,219,3,10,7823,4,18,1024,576
2023-03-08 13:37:23,2023,3,8,13,24500,77,610,1000000,314,122,854,480
2023-03-07 22:46:17,2023,3,7,22,823,0,18,39800,0,44,1280,720
2023-03-07 22:40:14,2023,3,7,22,2120,7,28,202200,4,47,1024,576
2023-03-07 18:00:06,2023,3,7,18,114,1,4,6664,3,49,1280,720
2023-03-07 15:07:06,2023,3,7,15,6682,18,29,232600,11,39,1280,720
2023-03-07 15:02:06,2023,3,7,15,9319,16,65,621300,26,49,1024,576
2023-03-07 14:02:46,2023,3,7,14,3379,22,15,90100,18,19,1282,720
2023-03-07 12:03:54,2023,3,7,12,105,0,2,6242,1,59,1024,576
2023-03-06 19:25:41,2023,3,6,19,1324,7,45,93300,13,24,1024,576
2023-03-06 14:16:56,2023,3,6,14,181,36,6,16000,3,15,1024,576
2023-03-06 14:13:33,2023,3,6,14,427,5,10,24500,2,58,1024,576
2023-03-05 16:03:47,2023,3,5,16,46800,197,174,961900,71,142,854,480
2023-03-04 20:33:02,2023,3,4,20,3947,12,19,137700,18,53,1024,576
2023-03-04 11:48:49,2023,3,4,11,37300,168,131,2300000,140,44,1024,576
2023-03-03 21:50:16,2023,3,3,21,14000,16,36,634600,28,37,1024,576
2023-03-03 18:17:25,2023,3,3,18,15800,38,71,976000,42,41,1280,720
2023-03-03 10:48:05,2023,3,3,10,24000,114,71,1300000,49,104,1280,720
2023-03-02 16:31:42,2023,3,2,16,5064,21,17,217400,25,30,1280,720
2023-03-01 17:07:12,2023,3,1,17,4475,18,16,156700,20,27,1280,720
2023-03-01 17:03:16,2023,3,1,17,1199,3,15,35300,1,57,1280,720
2023-03-01 16:44:09,2023,3,1,16,428,3,8,22500,1,48,1280,720
2023-03-01 13:28:10,2023,3,1,13,1127,3,16,40400,8,64,1024,576
2023-02-28 17:58:04,2023,2,28,17,1562,5,9,45300,5,43,1280,720
2023-02-27 17:39:04,2023,2,27,17,1183,8,7,48400,6,34,1280,720
2023-02-27 12:00:05,2023,2,27,12,1662,4,22,107000,7,30,1024,576
2023-02-27 11:33:27,2023,2,27,11,469,2,10,44200,1,58,1280,720
2023-02-27 11:18:05,2023,2,27,11,19000,31,51,1300000,31,58,1024,576
2023-02-26 23:03:57,2023,2,26,23,9174,42,29,1700000,34,30,854,480
2023-02-26 15:55:12,2023,2,26,15,998,2,7,77800,5,55,1280,720
2023-02-25 17:26:09,2023,2,25,17,9670,35,46,637800,30,51,1280,720
2023-02-24 20:09:51,2023,2,24,20,2149,14,13,344600,15,15,1024,576
2023-02-22 19:32:09,2023,2,22,19,22600,32,164,2500000,94,127,1024,576
2023-02-22 11:25:37,2023,2,22,11,51200,181,95,3400000,112,20,1024,576
2023-02-21 18:28:36,2023,2,21,18,127700,235,300,13500000,288,29,1024,576
2023-02-21 18:09:23,2023,2,21,18,65500,218,192,7400000,150,32,854,480
2023-02-20 18:50:09,2023,2,20,18,9193,20,10,1100000,23,52,1024,576
2023-02-19 22:00:23,2023,2,19,22,50000,141,187,5600000,141,19,1280,720
2023-02-16 18:52:51,2023,2,16,18,84800,229,370,4800000,99,26,1024,576
2023-02-15 21:36:59,2023,2,15,21,19400,60,45,1400000,34,32,1024,576
2023-02-14 21:37:12,2023,2,14,21,179,5,10,7844,2,60,1024,576
2023-02-14 14:52:16,2023,2,14,14,191,1,5,7983,1,28,1024,576
2023-02-13 12:17:19,2023,2,13,12,1500,49,13,32300,6,15,1024,576
2023-02-12 21:24:50,2023,2,12,21,650,29,12,17100,0,30,1280,720
2023-02-07 12:10:08,2023,2,7,12,5976,63,76,160900,23,55,1280,720
2023-01-30 16:37:59,2023,1,30,16,117,11,9,8082,0,25,1280,720
2023-01-24 21:56:33,2023,1,24,21,12000,290,86,843200,23,15,1280,720
2023-01-24 21:53:50,2023,1,24,21,192,2,12,7921,1,55,1280,720
2023-01-23 13:33:51,2023,1,23,13,1430,43,16,52300,4,29,1280,720
2023-01-23 13:23:57,2023,1,23,13,4129,53,23,237900,5,23,1280,720
2023-01-21 23:11:06,2023,1,21,23,1671,5,17,58500,7,32,1024,576
2023-01-21 16:15:40,2023,1,21,16,17200,70,51,681300,46,29,1280,720
2023-01-19 13:33:23,2023,1,19,13,70400,723,504,4500000,136,56,1024,576
2023-01-18 15:40:16,2023,1,18,15,980,1,13,49500,2,54,1280,720
2023-01-18 14:51:52,2023,1,18,14,1989,3,11,104100,2,51,1024,576
2023-01-18 14:46:53,2023,1,18,14,553,6,6,36000,1,26,1024,576
2023-01-17 19:03:32,2023,1,17,19,54700,150,224,1600000,51,14,1024,576
2023-01-16 18:18:30,2023,1,16,18,3665,4,22,244500,9,26,1280,720
2023-01-16 18:12:15,2023,1,16,18,491,0,6,18600,1,33,1280,720
2023-01-15 22:00:42,2023,1,15,22,1221,2,7,32700,1,59,1024,576
2023-01-15 21:48:55,2023,1,15,21,14100,41,66,1000000,26,59,1024,576
2023-01-15 13:20:08,2023,1,15,13,2803,3,11,147000,7,32,1024,576
2023-01-13 15:00:50,2023,1,13,15,840,3,11,57900,5,71,1280,720
2023-01-13 14:50:46,2023,1,13,14,648,1,9,47900,4,15,1280,720
2023-01-10 17:38:32,2023,1,10,17,9428,35,46,460600,12,41,1128,576
2023-01-10 16:06:26,2023,1,10,16,1787,2,18,85800,7,47,1280,720
2023-01-10 13:17:46,2023,1,10,13,5570,9,102,206000,13,42,1280,720
2023-01-10 10:57:35,2023,1,10,10,83800,505,526,3300000,205,54,1128,576
2023-01-09 17:31:14,2023,1,9,17,7443,51,15,340300,16,46,1280,720
2023-01-09 13:25:27,2023,1,9,13,1094,1,9,47100,1,18,1280,720
2023-01-09 11:14:27,2023,1,9,11,767,4,8,25600,1,25,1024,576
2023-01-09 11:08:46,2023,1,9,11,45400,129,160,978100,37,67,1128,576
2023-01-08 14:03:18,2023,1,8,14,2454,2,13,177800,5,27,1024,576
2023-01-08 13:55:57,2023,1,8,13,93600,343,245,1600000,76,59,1128,576
2023-01-07 18:42:13,2023,1,7,18,80,0,2,5326,0,54,1024,576
2023-01-06 20:45:11,2023,1,6,20,8482,46,45,413500,10,25,1280,720
2023-01-06 17:24:44,2023,1,6,17,447,1,2,27700,0,35,1024,576
2023-01-06 14:03:50,2023,1,6,14,2813,7,19,107100,2,33,854,480
2023-01-03 15:15:31,2023,1,3,15,14500,42,40,619800,18,52,1280,720
2022-12-30 18:32:53,2022,12,30,18,23100,32,35,934500,57,24,1024,576
2022-12-30 16:21:59,2022,12,30,16,564,12,9,16900,3,15,1024,576
2022-12-30 11:48:09,2022,12,30,11,60300,674,385,4600000,118,54,1280,720
2022-12-30 11:34:25,2022,12,30,11,63200,90,167,2900000,92,67,1280,720
2022-12-30 11:26:01,2022,12,30,11,4333,9,16,165600,17,45,1024,576
2022-12-27 18:43:56,2022,12,27,18,21700,21,95,1300000,76,63,1280,720
2022-12-27 18:32:08,2022,12,27,18,158900,235,588,8800000,335,66,1280,720
2022-12-25 12:30:13,2022,12,25,12,25200,77,89,1900000,37,59,1024,576
2022-12-25 01:14:30,2022,12,25,1,11800,323,26,559900,14,23,1280,720
2022-12-24 21:35:40,2022,12,24,21,20900,64,75,723700,14,59,1024,576
2022-12-19 11:05:36,2022,12,19,11,22700,63,67,580500,24,12,1280,720
2022-12-16 11:28:31,2022,12,16,11,13400,20,43,699500,16,61,1280,720
2022-12-14 18:49:23,2022,12,14,18,357,78,9,53200,6,15,1280,720
2022-12-14 17:02:49,2022,12,14,17,175,1,5,21200,5,15,1280,720
2022-12-14 16:49:42,2022,12,14,16,12000,61,76,727200,24,66,1280,720
2022-12-14 13:34:29,2022,12,14,13,191,5,7,33900,0,15,1280,720
2022-12-14 11:03:18,2022,12,14,11,9192,22,88,872000,22,46,1024,576
2022-12-13 22:31:12,2022,12,13,22,15200,83,22,757300,14,49,1280,720
2022-12-13 18:03:18,2022,12,13,18,3639,5,28,93000,3,31,1280,720
2022-12-13 17:41:59,2022,12,13,17,7566,19,43,460800,10,41,854,480
2022-12-13 17:23:19,2022,12,13,17,14300,28,57,904300,26,52,1024,576
2022-12-13 11:13:18,2022,12,13,11,182,2,3,14700,0,82,1280,720
2022-12-13 11:02:12,2022,12,13,11,7512,13,124,642600,30,67,1280,720
2022-12-12 17:49:45,2022,12,12,17,5355,12,14,175300,5,26,1024,576
2022-12-12 14:57:38,2022,12,12,14,12600,4,22,502900,14,42,1280,720
2022-12-11 21:59:56,2022,12,11,21,8272,10,37,1100000,12,28,1280,720
2022-12-11 21:52:48,2022,12,11,21,3592,8,23,598700,9,15,1024,576
2022-12-10 23:04:00,2022,12,10,23,7075,19,25,1200000,17,33,1024,576
2022-12-10 22:55:59,2022,12,10,22,20200,18,37,610100,15,22,1280,720
2022-12-10 22:23:33,2022,12,10,22,16400,107,48,1400000,17,30,1024,576
2022-12-10 19:28:22,2022,12,10,19,13300,32,37,740600,29,6,1128,576
2022-12-10 15:46:50,2022,12,10,15,11500,94,20,1200000,38,21,1274,720
2022-12-10 14:10:45,2022,12,10,14,16800,28,36,674500,12,21,1280,720
2022-12-10 14:03:21,2022,12,10,14,10600,9,27,1000000,19,29,1024,576
2022-12-09 22:01:06,2022,12,9,22,8366,360,44,701700,26,21,1280,720
2022-12-09 20:22:22,2022,12,9,20,14700,57,19,682700,11,32,1024,576
2022-12-09 18:09:40,2022,12,9,18,20100,43,100,700800,18,83,1280,720
2022-12-09 17:15:18,2022,12,9,17,1079,24,17,59200,1,17,1280,720
2022-12-09 11:44:01,2022,12,9,11,9886,9,30,630000,13,49,1280,720
2022-12-09 11:00:36,2022,12,9,11,29600,65,43,730300,23,54,1024,576
2022-12-08 14:21:41,2022,12,8,14,8444,12,27,545900,12,15,1280,720
2022-12-08 12:20:25,2022,12,8,12,4371,0,22,309600,7,27,1024,576
2022-12-08 11:58:30,2022,12,8,11,6636,22,39,751500,23,34,1024,576
2022-12-08 10:47:35,2022,12,8,10,5403,7,23,528300,9,43,1280,720
2022-12-06 21:14:58,2022,12,6,21,227,1,4,10400,0,37,1024,576
2022-12-06 20:54:06,2022,12,6,20,19700,55,119,711800,30,58,1280,720
2022-12-06 13:40:54,2022,12,6,13,14600,29,34,548200,29,15,1280,720
2022-12-06 13:04:19,2022,12,6,13,12100,6,140,736100,40,54,1024,576
2022-12-05 17:33:56,2022,12,5,17,26900,221,95,739100,40,14,1024,576
2022-12-05 10:21:34,2022,12,5,10,20900,62,544,789800,307,55,1280,720
2022-12-05 10:06:49,2022,12,5,10,16300,30,34,648800,19,43,1280,720
2022-12-02 22:12:58,2022,12,2,22,26500,92,159,878200,37,36,1024,576
2022-12-02 19:16:30,2022,12,2,19,26300,38,68,2300000,58,28,960,544
2022-12-02 11:19:24,2022,12,2,11,30500,965,343,1200000,81,59,1280,720
2022-11-30 18:00:20,2022,11,30,18,4599,39,16,208900,9,30,1280,720
2022-11-29 19:55:06,2022,11,29,19,5009,11,30,215600,5,65,1280,720
2022-11-27 20:29:08,2022,11,27,20,13700,26,95,791100,58,53,1280,720
2022-11-26 14:17:15,2022,11,26,14,543,36,7,15000,1,57,1280,720
2022-11-25 23:15:39,2022,11,25,23,20700,24,107,646700,21,51,1280,720
2022-11-21 14:01:57,2022,11,21,14,42100,73,113,1700000,72,60,1024,576
2022-11-20 16:41:23,2022,11,20,16,55600,2379,605,2600000,148,54,1280,720
2022-11-20 16:34:27,2022,11,20,16,55400,155,106,1900000,98,17,1280,720
2022-11-17 17:52:38,2022,11,17,17,22700,32,78,653300,22,56,1280,720
2022-11-17 17:08:48,2022,11,17,17,72600,280,512,1800000,152,17,1280,720
2022-11-12 00:18:41,2022,11,12,0,444,4,25,16400,6,24,1024,576
2022-11-11 23:36:39,2022,11,11,23,580,253,32,21900,3,24,1024,576
2022-11-11 17:28:14,2022,11,11,17,3382,82,19,90500,10,23,1024,576
2022-11-11 15:55:00,2022,11,11,15,17700,21,81,598100,34,81,1280,720
2022-11-11 15:12:05,2022,11,11,15,18600,23,23,655100,23,53,1272,720
2022-11-11 11:25:28,2022,11,11,11,17400,52,136,405700,21,73,854,480
2022-11-11 11:20:19,2022,11,11,11,10700,10,131,286600,73,59,1280,720
2022-11-11 10:41:06,2022,11,11,10,2954,10,8,99800,1,59,1280,720
2022-11-10 15:50:13,2022,11,10,15,829,1,8,38100,3,77,1024,576
2022-11-10 15:32:37,2022,11,10,15,2283,2,13,95000,6,62,1024,576
2022-11-10 15:03:33,2022,11,10,15,3021,2,12,91000,1,66,1280,720
2022-11-10 14:58:54,2022,11,10,14,1019,1,7,51000,1,36,1280,720
2022-11-10 14:46:16,2022,11,10,14,2081,2,8,51400,4,34,1024,576
2022-11-10 11:09:56,2022,11,10,11,1179,1,9,45400,3,55,1280,720
2022-11-10 10:46:24,2022,11,10,10,4536,11,43,107300,2,69,1280,720
2022-11-09 20:23:21,2022,11,9,20,3947,1,55,90400,2,32,854,480
2022-11-09 20:10:46,2022,11,9,20,3197,5,60,83000,11,46,1024,576
2022-11-09 19:10:49,2022,11,9,19,4803,4,14,149000,6,35,1008,576
2022-11-09 11:41:34,2022,11,9,11,4850,3,12,118600,4,84,1024,576
2022-11-08 22:33:41,2022,11,8,22,4331,3,28,254600,5,10,1024,576
2022-11-08 22:12:39,2022,11,8,22,14000,26,46,5200000,63,7,1024,576
2022-11-08 14:02:30,2022,11,8,14,2887,1,8,91700,0,60,1280,720
2022-11-08 12:11:09,2022,11,8,12,2833,3,10,91600,8,50,854,480
2022-11-07 13:59:24,2022,11,7,13,11000,78,166,280300,33,21,1280,720
2022-11-07 13:17:28,2022,11,7,13,6544,11,35,144800,9,47,1280,720
2022-11-07 13:08:38,2022,11,7,13,6746,19,21,157900,17,21,1280,720
2022-11-06 22:46:18,2022,11,6,22,1725,39,9,68000,3,33,1280,720
2022-11-06 14:08:49,2022,11,6,14,11300,11,71,263700,9,59,1280,720
2022-11-06 13:38:23,2022,11,6,13,1403,2,2,38700,8,43,1556,720
2022-11-06 13:32:40,2022,11,6,13,786,0,7,22700,5,46,1280,720
2022-11-05 18:34:38,2022,11,5,18,3729,5,11,120200,12,15,1024,576
2022-11-03 12:16:04,2022,11,3,12,16400,49,60,452800,34,12,1280,720
2022-11-03 12:02:19,2022,11,3,12,6667,37,23,180900,22,29,1280,720
2022-11-02 21:33:40,2022,11,2,21,14900,117,223,327100,24,42,1280,720
2022-11-01 13:35:15,2022,11,1,13,3332,1,16,65800,3,55,1280,720
2022-10-28 15:31:44,2022,10,28,15,20800,27,301,376500,177,54,1280,720
2022-10-27 21:01:16,2022,10,27,21,9012,54,74,264100,15,58,1280,720
2022-10-21 22:10:21,2022,10,21,22,6792,16,21,408200,8,46,1280,720
2022-10-20 21:31:32,2022,10,20,21,156,6,8,6012,2,26,1280,720
2022-10-20 20:14:10,2022,10,20,20,437,11,16,12100,3,48,1280,720
2022-10-20 15:10:46,2022,10,20,15,4137,5,18,167400,4,24,1024,576
2022-10-20 14:51:21,2022,10,20,14,15400,10,40,402200,11,59,1280,720
2022-10-19 19:41:45,2022,10,19,19,12200,245,63,666100,26,21,854,480
2022-10-18 18:55:00,2022,10,18,18,12300,9,108,501800,23,52,1280,720
2022-10-18 10:20:53,2022,10,18,10,15300,70,52,480000,24,36,1274,720
2022-10-17 22:22:45,2022,10,17,22,4886,6,4,192000,3,33,1280,720
2022-10-17 11:57:41,2022,10,17,11,7550,8,9,230100,7,13,1024,576
2022-10-15 13:40:06,2022,10,15,13,3858,8,14,184600,9,47,1280,720
2022-10-14 11:47:23,2022,10,14,11,3651,3,9,124900,6,37,1280,720
2022-10-13 10:54:26,2022,10,13,10,8374,14,12,203800,9,56,1280,720
2022-10-13 10:05:28,2022,10,13,10,2710,1,10,114500,2,21,854,480
2022-10-12 20:40:18,2022,10,12,20,5097,152,25,293600,8,27,1024,576
2022-10-11 16:57:26,2022,10,11,16,26000,2692,78,1700000,35,14,1024,576
2022-10-11 14:02:17,2022,10,11,14,4585,5,10,237200,3,49,1280,720
2022-10-11 11:11:21,2022,10,11,11,6278,15,42,226700,11,50,1280,720
2022-10-11 10:00:03,2022,10,11,10,5596,3,31,302600,9,56,1280,720
2022-10-10 17:39:37,2022,10,10,17,6838,5,10,251000,6,28,1280,720
2022-10-10 12:09:00,2022,10,10,12,6208,2,24,238200,10,60,1024,576
2022-10-10 11:18:03,2022,10,10,11,6707,2,33,243500,2,65,1280,720
2022-10-09 20:00:00,2022,10,9,20,8320,455,126,273100,35,37,1280,720
2022-10-09 18:30:01,2022,10,9,18,9538,57,45,248000,3,39,1280,720
2022-10-09 17:00:00,2022,10,9,17,5625,3,16,154000,8,57,1024,576
2022-10-09 16:37:06,2022,10,9,16,2801,10,9,179800,2,30,1024,576
2022-10-09 14:00:00,2022,10,9,14,6627,35,8,283200,9,29,1024,576
2022-10-09 13:56:06,2022,10,9,13,4088,3,14,218300,3,70,1280,720
2022-10-09 13:15:00,2022,10,9,13,5850,5,12,338400,6,22,1280,720
2022-10-09 12:07:41,2022,10,9,12,6032,43,11,334100,17,20,1024,576
2022-10-08 20:39:15,2022,10,8,20,3539,5,11,255300,6,10,1280,720
2022-10-08 17:30:33,2022,10,8,17,2969,53,15,218800,33,14,1280,720
2022-10-07 20:30:00,2022,10,7,20,3298,1,3,203400,3,15,1024,576
2022-10-07 19:53:18,2022,10,7,19,13700,11,90,326300,22,55,1024,576
2022-10-07 12:53:58,2022,10,7,12,12000,44,28,585900,21,11,1280,720
2022-10-06 09:00:00,2022,10,6,9,6659,11,29,216500,14,51,1280,720
2022-10-03 23:57:11,2022,10,3,23,19200,332,136,551200,40,30,1024,576
2022-10-01 14:59:33,2022,10,1,14,9646,7,30,157500,8,57,1280,720
2022-10-01 09:26:47,2022,10,1,9,6349,12,8,157100,24,8,1024,576
2022-09-28 18:26:21,2022,9,28,18,13600,1191,61,394300,18,29,1280,720
2022-09-28 16:30:00,2022,9,28,16,63,1,1,3096,1,44,1024,576
2022-09-28 14:50:13,2022,9,28,14,44,1,2,2885,1,44,1024,576
2022-09-28 11:35:08,2022,9,28,11,10100,6,29,236200,12,65,1024,576
2022-09-27 15:11:06,2022,9,27,15,1352,1,7,34200,3,69,1280,720
2022-09-27 09:47:02,2022,9,27,9,1734,2,19,56900,7,93,854,480
2022-09-26 12:00:00,2022,9,26,12,1633,6,2,40100,3,48,1024,576
2022-09-26 10:45:57,2022,9,26,10,2286,44,18,40400,7,25,1280,720
2022-09-23 20:08:09,2022,9,23,20,5923,14,10,135100,7,33,1280,720
2022-09-22 14:00:01,2022,9,22,14,2233,1,5,162300,5,44,1024,576
2022-09-22 11:26:45,2022,9,22,11,3686,4,4,130600,2,44,1024,576
2022-09-21 15:27:14,2022,9,21,15,21800,173,179,357900,7,38,1280,720
2022-09-21 11:33:54,2022,9,21,11,72,2,1,3171,0,44,1024,576
2022-09-21 11:28:52,2022,9,21,11,6021,6,8,282500,7,44,1024,576
2022-09-19 20:00:01,2022,9,19,20,13200,16,109,388500,12,52,1024,576
2022-09-19 18:59:59,2022,9,19,18,7958,12,32,281700,11,58,1024,576
2022-09-19 09:45:37,2022,9,19,9,9212,650,78,399500,12,15,1280,720
2022-09-17 17:15:41,2022,9,17,17,11000,33,38,261300,22,13,1024,576
2022-09-16 19:00:00,2022,9,16,19,10800,36,97,390800,19,51,1280,720
2022-09-16 14:36:46,2022,9,16,14,14200,44,48,478800,10,46,1024,576
2022-09-15 17:35:14,2022,9,15,17,8339,7,10,305000,6,47,1280,720
2022-09-14 10:00:01,2022,9,14,10,12700,85,98,296900,8,37,1024,576
2022-09-13 14:18:37,2022,9,13,14,9179,6,53,421000,13,7,1024,576
2022-09-12 14:47:07,2022,9,12,14,61300,1086,196,1600000,82,13,1280,720
2022-09-11 23:00:48,2022,9,11,23,111,5,5,4237,3,38,1280,720
2022-09-11 10:20:01,2022,9,11,10,4221,16,30,214900,4,57,1024,576
2022-09-11 09:49:47,2022,9,11,9,1252,6,5,102000,2,11,1024,576
2022-09-10 20:05:00,2022,9,10,20,6255,20,133,209200,17,62,1280,720
2022-09-10 19:41:53,2022,9,10,19,1739,7,14,169200,7,56,1280,720
2022-09-10 18:52:14,2022,9,10,18,5736,4,21,199500,2,36,1280,720
